Date,Open,High,Low,Close,Adj Close,Volume
2017-11-07,23501.000000,23557.000000,23414.000000,23488.000000,23488.000000,116835
2017-11-08,23461.000000,23507.000000,23434.000000,23491.000000,23491.000000,97478
2017-11-09,23491.000000,23535.000000,23260.000000,23416.000000,23416.000000,222954
2017-11-10,23403.000000,23447.000000,23338.000000,23382.000000,23382.000000,113940
2017-11-12,null,null,null,null,null,null
2017-11-13,23397.000000,23429.000000,23288.000000,23406.000000,23406.000000,110344
2017-11-14,23398.000000,23424.000000,23231.000000,23375.000000,23375.000000,143451
2017-11-15,23366.000000,23366.000000,23205.000000,23262.000000,23262.000000,166036
2017-11-16,23260.000000,23464.000000,23244.000000,23424.000000,23424.000000,136359
2017-11-17,23416.000000,23440.000000,23305.000000,23316.000000,23316.000000,125397
2017-11-19,null,null,null,null,null,null
2017-11-20,23318.000000,23427.000000,23241.000000,23395.000000,23395.000000,110122
2017-11-21,23398.000000,23586.000000,23375.000000,23543.000000,23543.000000,113831
2017-11-22,23550.000000,23599.000000,23476.000000,23485.000000,23485.000000,74052
2017-11-24,null,null,null,null,null,null
2017-11-26,null,null,null,null,null,null
2017-11-27,23515.000000,23616.000000,23475.000000,23562.000000,23562.000000,101427
2017-11-28,23563.000000,23827.000000,23522.000000,23811.000000,23811.000000,143563
2017-11-29,23804.000000,23946.000000,23790.000000,23918.000000,23918.000000,158617
2017-11-30,23918.000000,24328.000000,23892.000000,24274.000000,24274.000000,210841
2017-12-01,24235.000000,24325.000000,23924.000000,24238.000000,24238.000000,346046
2017-12-03,null,null,null,null,null,null
2017-12-04,24346.000000,24536.000000,24265.000000,24305.000000,24305.000000,196164
2017-12-05,24294.000000,24388.000000,24154.000000,24175.000000,24175.000000,159349
2017-12-06,24177.000000,24231.000000,24083.000000,24157.000000,24157.000000,133152
2017-12-07,24167.000000,24263.000000,24073.000000,24231.000000,24231.000000,127113
2017-12-08,24234.000000,24334.000000,24218.000000,24318.000000,24318.000000,102292
2017-12-10,null,null,null,null,null,null
2017-12-11,24325.000000,24435.000000,24321.000000,24401.000000,24401.000000,66296
2017-12-12,24428.000000,24556.000000,24398.000000,24526.000000,24526.000000,58817
2017-12-13,24525.000000,24668.000000,24466.000000,24627.000000,24627.000000,53863
2017-12-14,24630.000000,24684.000000,24517.000000,24537.000000,24537.000000,40787
2017-12-15,24543.000000,24669.599609,24533.000000,24669.599609,24669.599609,117089
2017-12-17,null,null,null,null,null,null
2017-12-18,24703.000000,24896.000000,24693.000000,24823.000000,24823.000000,114155
2017-12-19,24825.000000,24893.000000,24730.000000,24775.000000,24775.000000,114531
2017-12-20,24772.000000,24880.000000,24706.000000,24739.000000,24739.000000,117525
2017-12-21,24736.000000,24860.000000,24714.000000,24778.000000,24778.000000,89253
2017-12-22,24793.000000,24843.000000,24729.000000,24766.000000,24766.000000,43677
2017-12-24,null,null,null,null,null,null
2017-12-26,24779.000000,24798.000000,24707.000000,24792.000000,24792.000000,43677
2017-12-27,24792.000000,24821.000000,24762.000000,24788.000000,24788.000000,65184
2017-12-28,24791.000000,24840.000000,24784.000000,24797.000000,24797.000000,59438
2017-12-29,24808.000000,24886.000000,24667.000000,24735.000000,24735.000000,74016
2017-12-31,null,null,null,null,null,null
2018-01-02,24735.000000,24857.000000,24716.000000,24768.000000,24768.000000,105418
2018-01-03,24796.000000,24908.000000,24768.000000,24878.000000,24878.000000,93398
2018-01-04,24884.000000,25082.000000,24878.000000,25053.000000,25053.000000,115656
2018-01-05,25067.000000,25282.000000,25059.000000,25269.000000,25269.000000,106856
2018-01-07,null,null,null,null,null,null
2018-01-08,25272.000000,25359.000000,25210.000000,25250.000000,25250.000000,108698
2018-01-09,25246.000000,25415.000000,25238.000000,25373.000000,25373.000000,125138
2018-01-10,25354.000000,25384.000000,25222.000000,25351.000000,25351.000000,143641
2018-01-11,25351.000000,25561.000000,25330.000000,25555.000000,25555.000000,115640
2018-01-12,25539.000000,25813.000000,25531.000000,25801.000000,25801.000000,152582
2018-01-14,null,null,null,null,null,null
2018-01-16,25813.000000,26061.000000,25682.000000,25819.000000,25819.000000,309926
2018-01-17,25828.000000,26120.000000,25775.000000,26098.000000,26098.000000,188028
2018-01-18,26084.000000,26149.000000,25912.000000,25941.000000,25941.000000,190652
2018-01-19,25944.000000,26086.000000,25876.000000,26046.000000,26046.000000,166335
2018-01-21,null,null,null,null,null,null
2018-01-22,25981.000000,26225.000000,25944.000000,26195.000000,26195.000000,140635
2018-01-23,26201.000000,26315.000000,26135.000000,26201.000000,26201.000000,183153
2018-01-24,26185.000000,26387.000000,26087.000000,26270.000000,26270.000000,239662
2018-01-25,26265.000000,26437.000000,26210.000000,26376.000000,26376.000000,222390
2018-01-26,26381.000000,26608.000000,26381.000000,26604.000000,26604.000000,145941
2018-01-28,null,null,null,null,null,null
2018-01-29,26584.000000,26684.000000,26416.000000,26430.000000,26430.000000,212388
2018-01-30,26417.000000,26477.000000,26005.000000,26055.000000,26055.000000,306912
2018-01-31,26045.000000,26310.000000,26026.000000,26136.000000,26136.000000,243904
2018-02-01,26162.000000,26280.000000,25922.000000,26172.000000,26172.000000,290184
2018-02-02,26172.000000,26215.000000,25410.000000,25428.000000,25428.000000,353706
2018-02-04,null,null,null,null,null,null
2018-02-05,25431.000000,25477.000000,23691.000000,23938.000000,23938.000000,596827
2018-02-06,24087.000000,24890.000000,23088.000000,24800.000000,24800.000000,655987
2018-02-07,24742.000000,25239.000000,24503.000000,24735.000000,24735.000000,429666
2018-02-08,24716.000000,24928.000000,23800.000000,23970.000000,23970.000000,492406
2018-02-09,23969.000000,24350.000000,23325.000000,24167.000000,24167.000000,522982
2018-02-11,null,null,null,null,null,null
2018-02-12,24251.000000,24734.000000,24218.000000,24583.000000,24583.000000,300836
2018-02-13,24573.000000,24674.000000,24371.000000,24626.000000,24626.000000,257768
2018-02-14,24629.000000,24897.000000,24280.000000,24863.000000,24863.000000,335702
2018-02-15,24859.000000,25250.000000,24792.000000,25234.000000,25234.000000,283559
2018-02-16,25230.000000,25424.000000,25113.000000,25236.000000,25236.000000,260426
2018-02-18,null,null,null,null,null,null
2018-02-20,25228.000000,25341.000000,24866.000000,24948.000000,24948.000000,286769
2018-02-21,24951.000000,25257.000000,24724.000000,24782.000000,24782.000000,254310
2018-02-22,24783.000000,25137.000000,24576.000000,25013.000000,25013.000000,276484
2018-02-23,25019.000000,25325.000000,24996.000000,25314.000000,25314.000000,0
2018-02-25,null,null,null,null,null,null
2018-02-26,25328.000000,25774.000000,25300.000000,25758.000000,25758.000000,192591
2018-02-27,25758.000000,25813.000000,25388.000000,25429.000000,25429.000000,310010
2018-02-28,25411.000000,25577.000000,25018.000000,25038.000000,25038.000000,271877
2018-03-01,25090.000000,25185.000000,24431.000000,24620.000000,24620.000000,453185
2018-03-02,24616.000000,24670.000000,24204.000000,24535.000000,24535.000000,397219
2018-03-04,null,null,null,null,null,null
2018-03-05,24483.000000,24955.000000,24311.000000,24864.000000,24864.000000,309960
2018-03-06,24885.000000,25047.000000,24695.000000,24852.000000,24852.000000,262663
2018-03-07,24659.000000,24845.000000,24410.000000,24795.000000,24795.000000,314554
2018-03-08,24784.000000,24956.000000,24704.000000,24892.000000,24892.000000,230598
